ID,销量,链接
1006475357211,300,https://detail.1688.com/offer/1006475357211.html?spm=a312h.2018_new_sem.dh_002.233.593c5928E69Fyw&src=zhanwai&ptid=0177000000078ac1ac8905975cd09cb8
1001012703214,500,https://detail.1688.com/offer/1001012703214.html?spm=a312h.2018_new_sem.dh_002.41.593c5928E69Fyw&src=zhanwai&ptid=0177000000078ac1ac8905975cd09cb8
963577561165,300,https://detail.1688.com/offer/963577561165.html?src=zhanwai&pid=301012_1000&ptid=0177000000078ac1ac8905975cd09cb8&exp=enquiry%3AB%3BqueryMobilePhone%3AA%3Bxlyx%3AB&_force_exp_buckets_=11803%2C2024061701%2C2024011602&spm=a312h.2018_new_sem.dh_002.61.4736404eYskkMW&cosite=sogoujj_pz&tracelog=p4p&_p_isad=1&clickid=81d5c43890fc4c03abeab769fddf0c88&sessionid=f983c46af9478cbcda4c511e54b55816&a=1854&e=DbHTaztBoMgQvA2gVQSpSWskFOUEdbMMwiNHu1GErFsAkn1BCHRJXthVFBn6Xky4KzxuysDg5JARcZtuF5ynJhKuqeLaUkz56WbPqvAJuRGhNihvFNBHHvuepOV52gVyOmPKzwacnP5ZA0jVExZp63OdmDCk4rnY18-8f.E7VzStc8g0er3i8EMbsDbsnt2G80vaX0yFnCIi.wkPj3aMoIJlkq8F2tXZ4wuUrwS9jvq.Dsg1VhOGOPOLjHHHzcYcQGY2nEwPg9iVqXU8LAUwdw__&sk=sem&style=1
969894134335,400,https://detail.1688.com/offer/969894134335.html?src=zhanwai&pid=301012_1000&ptid=0177000000078ac1ac8905975cd09cb8&exp=enquiry%3AB%3BqueryMobilePhone%3AA%3Bxlyx%3AB&_force_exp_buckets_=11803%2C2024061701%2C2024011602&spm=a312h.2018_new_sem.dh_002.49.4736404eYskkMW&cosite=sogoujj_pz&tracelog=p4p&_p_isad=1&clickid=276ddc2074f84d2884487605a10d1ed7&sessionid=f983c46af9478cbcda4c511e54b55816&a=1930&e=NOji4ru768begpK9A9aASRfkI6A6NvTXy4IZAzpj.fyctY9qrrtxlLSNhW-WmmOLhqz5bLRH7zJpk6AL1GQyZG4C21khF-clkw3MXVfGtCT5p0ydWKQgurFXqHWJxb3zfZcpNrCEr4mDkORGOX.teADi63nVt1hKTEVmbSczrVV.AzmRajOk-ZnknwVLxW0OhkhgYM9ZmykxKQrDwmoU9XvQASFtsYfH02BpxrPUTNg0TaR0qR1NuGZdpLJQudvTZADpNNWn0EHRrLZOWiyG43pxZr63WQgs&sk=sem&style=1
987892704208,800,https://detail.1688.com/offer/987892704208.html?src=zhanwai&pid=301011_0000&ptid=0177000000078ac1ac8905975cd09cb8&exp=enquiry%3AB%3BqueryMobilePhone%3AA%3Bxlyx%3AB&_force_exp_buckets_=11803%2C2024061701%2C2024011602&spm=a312h.2018_new_sem.dh_002.23.4736404eYskkMW&cosite=sogoujj_pz&tracelog=p4p&_p_isad=1&clickid=14d81e10beb949d88aca9619d4b19484&sessionid=3815e6d4f4d195a19a38fdec147c0bbd&a=1302&e=-CSnxtZiF9wekp5o8PDKwRPjo0NXVHupk5YRVg-Gh5wDwp44N3A6aOIcouOFCv0ReKctHyKsjpNjG5YWYOupJ7u7Q3B7qTu6S4931gDNbaDDWEEGlNNwxoz2Q23xKs8fPzJXs32.pmKHfDuYMgOMipLYFNdlmPmc57jZj0rMJWEmrkhyytOhG8b4CkVucBjO2Qr6JPhe-oROkuirzC3-gCpiKJ9w51w2wBZllW-84OzHpfarVyo8m8Zhd8oH7A.6UCG4FmA78mmLGVgpQDdRSQ__&sk=sem&style=1
,,
,,
,,
,,
,,
,,
,,
